clique_id,lemma,upos,affix,stem,synonyms,hypernyms
107,sign,VBD,ed,sign,bless|contract|ratify|sign|sign on|sign up|signal|signalise|signalize|subscribe,write|validate|formalize|formalise|contract|undertake|hire|engage|employ|communicate|intercommunicate|put|set|place|pose|position|lay|gesticulate|gesture|motion
107,sino-,NNP,NA,sino-,,NA
107,british,NNP,NA,british,British|British people|Brits,nation|land|country
107,joint,NNP,NA,joint,articulatio|articulation|join|joint|junction|juncture|marijuana cigarette|reefer|roast|spliff|stick,body part|spot|connection|connexion|link|cut|cut of meat|junction|conjunction|cigarette|cigaret|coffin nail|butt|fag
107,declaration,NNP,NA,declar,announcement|annunciation|contract|declaration|proclamation|resolution|resolve,statement|testimony|bid|bidding|document|written document|papers
107,britain,NNP,NA,britain,Britain|Great Britain|U.K.|UK|United Kingdom|United Kingdom of Great Britain and Northern Ireland,
107,confirm,VBD,ed,confirm,affirm|confirm|corroborate|reassert|substantiate|support|sustain,affirm|strengthen|beef up|fortify|approve|O.K.|okay|sanction|covenant
107,transfer,NN,NA,transfer,carry-over|conveyance|transfer|transfer of training|transferee|transference|transferral|transport|transportation,movement|person|individual|someone|somebody|mortal|soul|change of state|ticket|learning|acquisition|transaction|dealing|dealings
107,new,NNP,NA,new,,NA
107,territory,NNPS,s,territori,district|dominion|soil|territorial dominion|territory,region|area|geographical area|geographic area|geographical region|geographic region
107,hong,NNP,NA,hong,,NA
107,kong,NNP,NA,kong,,NA
107,china,NNP,NA,china,Cathay|china|China|chinaware|Communist China|mainland China|Nationalist China|People's Republic of China|PRC|Red China|Republic of China|Taiwan,porcelain|crockery|dishware
107,1997,CD,NA,1997,NA,NA
108,part,NN,NA,part,character|component|component part|constituent|contribution|division|function|office|part|parting|percentage|persona|piece|portion|region|role|section|share|theatrical role|voice,relation|object|physical object|thing|concern|location|duty|portrayal|characterization|enactment|personation|assets|concept|conception|construct|line|tune|melody|air|strain|melodic line|melodic phrase|attempt|effort|endeavor|endeavour|try|item
108,china,NNP,NA,china,Cathay|china|China|chinaware|Communist China|mainland China|Nationalist China|People's Republic of China|PRC|Red China|Republic of China|Taiwan,porcelain|crockery|dishware
108,declare,VBD,ed,declar,adjudge|announce|declare|hold,state|say|tell|affirm|verify|assert|avow|aver|swan|swear|evaluate|pass judgment|judge|authorize|authorise|pass|clear|play|proclaim|exclaim|promulgate
108,hong,NNP,NA,hong,,NA
108,kong,NNP,NA,kong,,NA
108,special,JJ,NA,special,especial(a)|exceptional|extra|limited|particular|particular(a)|peculiar(a)|special|special(a),
108,administrative,NNP,NA,administr,,NA
108,region,NNP,NA,region,area|neighborhood|part|realm|region,location|body part|indefinite quantity|knowledge domain|knowledge base|domain
108,guarantee,VBD,ed,guarante,assure|ensure|guarantee|insure|secure|undertake|vouch|warrant,pledge|plight|promise|assure|back|endorse|indorse|plump for|plunk for|support
108,civil,JJ,NA,civil,civic|civil|polite,
108,social,JJ,NA,social,social|societal,
108,system,NN,NA,system,arrangement|organisation|organization|scheme|system|system of rules,instrumentality|instrumentation|group|grouping|matter|method|structure|body part|plan of action|live body|orderliness|methodicalness
108,least,JJS,NA,least,least(a),
108,50,CD,NA,50,NA,NA
108,year,NNS,s,year,class|twelvemonth|year|yr,time period|period of time|period|gathering|assemblage
108,1997,CD,NA,1997,NA,NA
109,china,NNP,NA,china,Cathay|china|China|chinaware|Communist China|mainland China|Nationalist China|People's Republic of China|PRC|Red China|Republic of China|Taiwan,porcelain|crockery|dishware
109,s,VBZ,NA,NA,,NA
109,basic,NNP,NA,basic,basic|BASIC|staple,programming language|programing language|commodity|trade good|good
109,law,NNP,NA,law,constabulary|jurisprudence|law|law of nature|legal philosophy|natural law|police|police force|practice of law,collection|aggregation|accumulation|assemblage|legal document|legal instrument|official document|instrument|concept|conception|construct|philosophy|learned profession|force|personnel|law enforcement agency
109,promise,VBD,ed,promis,anticipate|assure|call|forebode|foretell|predict|prognosticate|promise,declare|guess|venture|pretend|hazard|be
109,hong,NNP,NA,hong,,NA
109,kong,NNP,NA,kong,,NA
109,s,VBZ,NA,NA,,NA
109,exist,VBG,ing,exist,be|exist|live|subsist|survive,
109,law,NNS,s,law,constabulary|jurisprudence|law|law of nature|legal philosophy|natural law|police|police force|practice of law,collection|aggregation|accumulation|assemblage|legal document|legal instrument|official document|instrument|concept|conception|construct|philosophy|learned profession|force|personnel|law enforcement agency
109,civil,JJ,NA,civil,civic|civil|polite,
109,liberty,NNS,s,liberti,autonomy|familiarity|impropriety|indecorum|liberty|shore leave,independence|independency|freedom|leave|leave of absence|misbehavior|misbehaviour|misdeed
109,be,VB,NA,be,be|comprise|constitute|cost|embody|equal|exist|follow|live|make up|personify|represent,NA
109,uphold,VBN,ed,uphold,bear on|carry on|continue|maintain|preserve|uphold,keep|maintain|hold|defend|support|fend for|confirm|reassert
109,refugee,NNS,s,refuge,refugee,exile|expatriate|expat
109,begin,VBD,ed,begin,begin|commence|get|get down|lead off|set about|set out|start|start out,talk|speak|utter|mouth|verbalize|verbalise|be|act|move|achieve|accomplish|attain|reach
109,flow,VBG,ing,flow,course|fall|feed|flow|flux|hang|menstruate|run,move|exist|be|flood|shed blood|bleed|hemorrhage
109,other,JJ,NA,other,early(a)|former(a)|other|other(a),
109,way,NN,NA,wai,agency|direction|elbow room|fashion|manner|means|mode|path|room|style|way|way of life,property|implementation|effectuation|path|route|itinerary|condition|status|course|course of action|artifact|artefact|journey|journeying|position|spatial relation|distance|choice|pick|selection|category|share|portion|part|percentage
110,british,NNP,NA,british,British|British people|Brits,nation|land|country
110,nationality,NNP,NA,nation,nationality,people|status|position
110,act,NNP,NA,act,act|bit|deed|enactment|human action|human activity|number|routine|turn,legal document|legal instrument|official document|instrument|event|dramatic composition|dramatic work|performance|public presentation|expression|manifestation|reflection|reflexion
110,1981,CD,NA,1981,NA,NA
110,have,VBD,ed,have,accept|bear|birth|cause|consume|deliver|experience|feature|get|give|give birth|have|have got|hold|induce|ingest|let|make|own|possess|receive|stimulate|suffer|sustain|take|take in|throw,NA
110,effect,NN,NA,effect,burden|consequence|core|effect|essence|event|force|gist|impression|issue|outcome|result|upshot,phenomenon|appearance|visual aspect|impression|feeling|belief|notion|opinion|meaning|significance|signification|import|validity|validness|symptom
110,prevent,VBD,ed,prevent,forbid|foreclose|forestall|keep|preclude|prevent,
110,hong,NNP,NA,hong,,NA
110,kong,NNP,NA,kong,,NA
110,citizen,NNS,s,citizen,citizen,national|subject
110,acquire,VBG,ing,acquir,acquire|adopt|assume|develop|evolve|gain|get|grow|larn|learn|produce|take|take on|win,change|situate|locate|get|acquire
110,british,JJ,NA,british,British,
